Manufacturer_Name,Approved_MFG_Location,Location Status,Usage Status,Quality Agreement,Current Audit Document,Approval Document/Reference#,Quality Due Date,Function,Quality Risk,Description of Goods/Services,Material Group,Amgen site,Supplier ID,Billing Vendor ID,Managed by,Subcategory,Billing Vendor Name,Billing Vendor Address,Last Changed By,Created on,Description
ORACLE AMERICA INC,"REDWOOD SHORES,CA,US",APPROVED,Acceptable,N/A PER SOP-416524,N/A PER SOP-416524,REC-551140,08/31/2022,COMPUTERIZED SYSTEM,Medium,SOFTWARE FOR GMP COMPUTERIZED SYSTEMS,ISSLDL,GLOBAL,100122240,100122240,"ASN0439576, ASN0200284... SEE REC-579303",SOFTWARE LICENSE DOWNLOAD VIA ELECTRONIC DOWNLOAD,ORACLE AMERICA INC,"REDWOOD SHORES,CA,US",NMARINOS,12/19/2015,IS SW Lic Download
ORACLE AMERICA INC,"REDWOOD SHORES,CA,US",APPROVED,Acceptable,N/A PER SOP-416524,N/A PER SOP-416524,REC-551140,08/31/2022,COMPUTERIZED SYSTEM,Medium,SOFTWARE FOR GMP COMPUTERIZED SYSTEMS,ISSLND,GLOBAL,100122240,100122240,"ASN0439576, ASN0200284... SEE REC-579303",SOFTWARE LICENSE DOWNLOAD VIA PHYSICAL MEDIA,ORACLE AMERICA INC,"REDWOOD SHORES,CA,US",NMARINOS,12/19/2015,IS SW Lic no Dwnload
ORACLE AMERICA INC,"REDWOOD SHORES,CA,US",APPROVED,Acceptable,N/A PER SOP-416524,N/A PER SOP-416524,REC-551140,08/31/2022,COMPUTERIZED SYSTEM,Medium,"UPDATED QUALITY AGREEMENT, CURRENT AUDIT DOC, CHANGE REFERENCE, AND DESCRIPTION PER REC-579303V1.0",ISSM,GLOBAL,100122240,100122240,"ASN0439576, ASN0200284... SEE REC-579303",SOFTWARE MAINTENANCE - ON TANGIBLE MEDIA,ORACLE AMERICA INC,"REDWOOD SHORES,CA,US",NMARINOS,12/19/2015,IS Software Maint
ORACLE AMERICA INC,"REDWOOD SHORES,CA,US",APPROVED,Acceptable,N/A PER SOP-416524,N/A PER SOP-416524,REC-551140,08/31/2022,COMPUTERIZED SYSTEM,Medium,SOFTWARE FOR GMP COMPUTERIZED SYSTEMS,ISSME,GLOBAL,100122240,100122240,"ASN0439576, ASN0200284... SEE REC-579303","IS - SOFTWARE MAINTENANCE, ELECTRONIC - GMP",ORACLE AMERICA INC,"REDWOOD SHORES,CA,US",NMARINOS,12/19/2015,IS Sftwre Maint-Elec
PHARMALINK SP Z O O,"LODZ, PL",APPROVED,Acceptable,"QAGR-402293, QAGR-402294",AMS-66487,REC-559796,4/1/2023,INTERNATIONAL LOGISTIC SERVICE PROVIDER,Medium,WAREHOUSING AND DISTRIBUTION SERVICES INCLUDING LOGISITICS SERVICE PROVIDERS,WAREH,GLOBAL,100122367,100122367,GLOBAL DISTRIBUTION EMEA,WAREHOUSING AND DISTRIBUTION SERVICES INCLUDING LOGISITICS SERVICE PROVIDERS,PHARMALINK SP Z O O,"LODZ, PL",GTORRE05,12/19/2015,Warehousing
EMERSON PUERTO RICO INC,"GUAYNABO,PR,US",APPROVED,Acceptable,N/A PER SOP-416524,N/A PER SOP-416524,REC-554225,08/31/2022,COMPUTERIZED SYSTEM,Medium,SOFTWARE LICENSE DOWNLOAD VIA PHYSICAL MEDIA,ISSLND,GLOBAL,100122666,100122666,"GANGL, JOSH",SOFTWARE LICENSE DOWNLOAD VIA PHYSICAL MEDIA,EMERSON PUERTO RICO INC,"GUAYNABO,PR,US",NMARINOS,12/19/2015,IS SW Lic no Dwnload
EMERSON PUERTO RICO INC,"GUAYNABO,PR,US",APPROVED,Acceptable,N/A PER SOP-416524,N/A PER SOP-416524,REC-554225,08/31/2022,COMPUTERIZED SYSTEM,Medium,SOFTWARE MAINTENANCE - ON TANGIBLE MEDIA,ISSM,GLOBAL,100122666,100122666,"GANGL, JOSH",SOFTWARE MAINTENANCE - ON TANGIBLE MEDIA,EMERSON PUERTO RICO INC,"GUAYNABO,PR,US",NMARINOS,12/19/2015,IS Software Maint
EMERSON PUERTO RICO INC,"GUAYNABO,PR,US",APPROVED,Acceptable,N/A PER SOP-416524,N/A PER SOP-416524,REC-554225,08/31/2022,COMPUTERIZED SYSTEM,Medium,"IS - SOFTWARE MAINTENANCE, ELECTRONIC - GMP",ISSME,GLOBAL,100122666,100122666,"GANGL, JOSH","IS - SOFTWARE MAINTENANCE, ELECTRONIC - GMP",EMERSON PUERTO RICO INC,"GUAYNABO,PR,US",NMARINOS,12/19/2015,IS Sftwre Maint-Elec
SOUTHERN INDIANA SCALE COMPANY INC DBA PREMIER SCALES & SYSTEMS,"EVANSVILLE,IN,US",APPROVED,Acceptable,N/A PER SOP-427473,AMS-42886,REC-563100,10/24/2022,CALIBRATION,Low,"ELECTRICAL: DC/LOW FREQUENCY: DC & AC VOLTAGE, DC & AC CURRENT, RESISTANCE, CAPACITANCE, DC & AC POWER, ELECTRICAL SUBSTITUTION OF THERMOCOUPLE & RTD DEVICES. LENGTH: GAGE BLOCKS & BALLS, PLAIN RING GAGES, MICRO...[SEE REC-563100 FOR COMPLETE DESCRIPTION]",INCLSV,GLOBAL,100123388,100123388,"TRONCOSO, RAUL",INSPECTION AND CALIBRATION SERVICE PROVIDERS,SOUTHERN INDIANA SCALE COMPANY,"EVANSVILLE,IN,US",CJULARBA,10/4/2016,Insp&Calibration Srv
SOPHARMA TRADING PLC,"SOFIA, BG",APPROVED,Acceptable,QAGR-401760,N/A PER SOP-427473,REC-560596,12/21/2022,WAREHOUSING,Medium,WAREHOUSING; WAREHOUSING AND DISTRIBUTION SERVICES INCLUDING LOGISTICS SERVICE PROVIDERS,WAREH,BGSO,100123873,100123873,"GD EMEA / KANCHEV, NIKOLAY",WAREHOUSING AND DISTRIBUTION SERVICES INCLUDING LOGISITICS SERVICE PROVIDERS,SOPHARMA TRADING PLC,"SOFIA, BG",NMARINOS,1/9/2020,Warehousing
FARMACEUTICOS MAYPO SA DE CV,"CDMX, MX",APPROVED,Acceptable,QAGR-402410,PENDING PLAN416446,REC-577453,05/25/2022,INTERNATIONAL LOGISTIC SERVICE PROVIDER,High,WAREHOUSING AND DISTRIBUTION SERVICES INCLUDING LOGISTICS SERVICE PROVIDERS FOR GOVERNMENT DISTRIBUTION,WAREH,MXMC,100124586,100124586,MEXICO SUPPLY CHAIN,WAREHOUSING AND DISTRIBUTION SERVICES INCLUDING LOGISITICS SERVICE PROVIDERS,FARMACEUTICOS MAYPO SA DE CV,"CDMX, MX",NMARINOS,12/19/2015,Warehousing
"ROVISYS CO, THE","CLEVELAND,OH,US",PROVISIONL,Acceptable with additional oversight,N/A PER SOP-427473,N/A PER SOP-427473,REC-547305,08/18/2022,GENERAL,Medium,"ROVISYS IS AN AUTOMATION SYSTEM INTEGRATOR AND SERVICE PROVIDER. THE SERVICES PROVIDED INCLUDE AUTOMATION PROJECT DELIVERY, COMMISSIONING & QUALIFICATION AND TECHNICAL SUPPORT, QUALIFIED TECHNICAL RESOURCES (E.G...[SEE REC-547305 FOR COMPLETE DESCRIPTION]",MFGEXE,GLOBAL,100124712,100124712,"MUNOZ, ERNESTO / CORPORATE OIS",AUTOMATION SYSTEMS SERVICE PROVIDERS,"ROVISYS CO, THE","CLEVELAND,OH,US",NMARINOS,12/19/2015,Mfg Execute Sys
NIKON METROLOGY INC,"BRIGHTON,MI,US",APPROVED,Acceptable,N/A PER SOP-417413,AMS-59328,REC-561577,06/30/2023,CALIBRATION,Low,"AUTOCOLLIMATORS, MEASURESCOPES, OPTICAL COMPARATORS, VMA VIDEO MEASURING SYSTEMS, VMR & VMZ VIDEO MEASURING SYSTEMS",INCLSV,GLOBAL,100124978,100124978,"TRONCOSO, RAUL",INSPECTION AND CALIBRATION SERVICE PROVIDERS,NIKON METROLOGY INC,"BRIGHTON,MI,US",NMARINOS,12/19/2015,Insp&Calibration Srv
HEALTHCARE LOGISTICS,"AIRPORT OAKS, NZ",APPROVED,Acceptable,QAGR-401529,AMS-58421,REC-560008,02/20/2023,INTERNATIONAL LOGISTIC SERVICE PROVIDER,High,"WAREHOUSING & DISTRIBUTION, LOGISTICS SERVICE PROVIDER",WAREH,GLOBAL,100126043,100126043,IDQ,WAREHOUSING AND DISTRIBUTION SERVICES INCLUDING LOGISITICS SERVICE PROVIDERS,HEALTHCARE LOGISTICS,"AIRPORT OAKS, NZ",GTORRE05,12/19/2015,Warehousing
GEA REFRIGERATION NETHERLANDS NV,"NUMANSDORP, NL",APPROVED,Acceptable,QAGR-401017,N/A PER SOP-427473,REC-564018,2/12/2024,F&E MAINTENANCE,Low,COLD STORE SYSTEM MAINTENANCE,MAINT,GLOBAL,100126417,100126417,"MALDONADO, DAISEY",HVAC SERVICES,GEA REFRIGERATION NETHERLANDS NV,"NUMANSDORP, NL",NMARINOS,12/19/2015,Maintenance Srv
DOMINO AMJET INC,"GURNEE,IL,US",APPROVED,Acceptable,QAGR-401538,N/A PER SOP-427473,REC-570251,7/9/2022,F&E MAINTENANCE,Low,REPAIR AND MAINTENANCE OF DOMINO AMJET OF D320I LASERS AND ASSOCIATED DPX FUME EXTRACTION SYSTEM,MAINT,GLOBAL,100126544,100134711,"MALDONADO, DAISEY",GENERAL EQUIPMENT SERVICES,DOMINO AMJET INC,"CHICAGO,IL,US",TRITURAO,12/19/2015,Maintenance Srv
IRON MOUNTAIN HELLAS S.A.,"ASPROPYRGOS, GR",APPROVED,Acceptable,QAGR-401081,"REC-576749,577010",REC-577710,6/9/2023,GENERAL,Low,"IRON MOUNTAIN, THROUGH ITS DIVISIONS AND AFFILIATES, PROVIDES VARIOUS RECORDS AND INFORMATION MANAGEMENT SERVICES, INCLUDING THE STORAGE OF RECORDS, PAPER (HARD-COPY), STORAGE OF MEDIA, DOCUMENT SHREDDING SERVIC...[SEE REC-577710 FOR COMPLETE DESCRIPTION]",RECDIM,GLOBAL,100126624,100126624,CORPORATE QUALITY ASSURANCE,ARCHIVING,IRON MOUNTAIN HELLAS S.A.,"ASPROPYRGOS, GR",NMARINOS,07/15/2021,Rec Inf Mgmt
PARKER HANNIFIN CORP DBA MITOS BIOTECH,"PHOENIXVILLE,PA,US",APPROVED,Acceptable,QAGR-401413,N/A PER SOP-427473,REC-554043,09/27/2024,F&E MAINTENANCE,Low,PCS ELASTOMER SUPPLIER,ETVPS,GLOBAL,100127017,100123263,"WALTNER, JERALD",PCS ELASTOMER,PARKER HANNIFIN CORP,"CHICAGO,IL,US",NMARINOS,12/19/2015,MRO - ETVPS
CYTEL INC,"WOBURN,MA,US",APPROVED,Acceptable,N/A PER SOP-416524,N/A PER SOP-416524,REC-605796,08/31/2022,COMPUTERIZED SYSTEM,Medium,SOFTWARE FOR GXP COMPUTERIZED SYSTEMS,ISSM,GLOBAL,100127290,100127290,"ASN0847517, 1195",SOFTWARE MAINTENANCE - ON TANGIBLE MEDIA,CYTEL INC,"WOBURN,MA,US",FPELLOT,02/22/2022,IS Software Maint
CYTEL INC,"WOBURN,MA,US",APPROVED,Acceptable,N/A PER SOP-416524,N/A PER SOP-416524,REC-605796,08/31/2022,COMPUTERIZED SYSTEM,Medium,SOFTWARE FOR GXP COMPUTERIZED SYSTEMS,ISSLND,GLOBAL,100127290,100127290,"ASN0847517, 1195",SOFTWARE LICENSE DOWNLOAD VIA PHYSICAL MEDIA,CYTEL INC,"WOBURN,MA,US",FPELLOT,02/22/2022,IS SW Lic no Dwnload
CYTEL INC,"WOBURN,MA,US",APPROVED,Acceptable,N/A PER SOP-416524,N/A PER SOP-416524,REC-605796,08/31/2022,COMPUTERIZED SYSTEM,Medium,SOFTWARE FOR GXP COMPUTERIZED SYSTEMS,ISSME,GLOBAL,100127290,100127290,"ASN0847517, 1195","IS - SOFTWARE MAINTENANCE, ELECTRONIC - GMP",CYTEL INC,"WOBURN,MA,US",FPELLOT,02/22/2022,IS Sftwre Maint-Elec
CYTEL INC,"WOBURN,MA,US",APPROVED,Acceptable,N/A PER SOP-416524,N/A PER SOP-416524,REC-605796,08/31/2022,COMPUTERIZED SYSTEM,Medium,SOFTWARE FOR GXP COMPUTERIZED SYSTEMS,ISSLDL,GLOBAL,100127290,100127290,"ASN0847517, 1195",SOFTWARE LICENSE DOWNLOAD VIA ELECTRONIC DOWNLOAD,CYTEL INC,"WOBURN,MA,US",FPELLOT,02/22/2022,IS SW Lic Download
GREEN MOUNTAIN QUALITY ASSURANCE LLC,"WARREN,VT,US",APPROVED,Acceptable,N/A PER SOP-427473,N/A PER SOP-427473,REC-579060,06/30/2023,CONSULTANTS,Low,"AUDITS FOR QUALITY SYSTEMS INCLUDING COMPUTERIZED SYSTEMS, TRAINING IN THE TOPIC OF DATA INTEGRITY AND DATA GOVERNANCE",GACONS,GLOBAL,100127379,100127379,CQC,MISC GMP CONSULTANTS,GREEN MOUNTAIN QUALITY ASSURANCE,"WARREN,VT,US",NMARINOS,08/29/2017,OtherG&Aconsult
WALSH ENGINEERING SERVICES INC DBA ESSCO CALIBRATION LABORATORY,"CHELMSFORD,MA,US",APPROVED,Acceptable,N/A PER SOP-417413,AMS-66702,REC-569675,09/30/2022,CALIBRATION,Low,"ELECTRICAL, DIMENSIONAL, TORQUE HIGH VACUUM, PRESSURE, MASS, SCALES & BALANCES, FORCE, TEMPERATURE, INFRARED, RELATIVE HUMIDITY, GAS FLOW",INCLSV,GLOBAL,100127523,100127523,"TRONCOSO, RAUL",INSPECTION AND CALIBRATION SERVICE PROVIDERS,WALSH ENGINEERING SERVICES,"CHELMSFORD,MA,US",NMARINOS,12/19/2015,Insp&Calibration Srv
LEWA NIKKISO AMERICA INC,"HOLLISTON,MA,US",APPROVED,Acceptable,QAGR-401437,N/A PER SOP-427473,REC-554503,10/12/2024,F&E MAINTENANCE,Low,PCS ELASTOMER SUPPLIER,ETVPS,GLOBAL,100128065,100128066,"WALTNER, JERALD",PCS ELASTOMER,LEWA NIKKISO AMERICA INC,"HOLLISTON,MA,US",NMARINOS,10/1/2021,MRO - ETVPS
SOFRIGAM,"RUEIL MALMAISON, FR",APPROVED,Acceptable,N/A PER SOP-416272,AMS-36590,N/A PER SOP-416272,12/31/9999,SUPPLIER QUALITY,Low,CONTROLLED TEMPERATURE SHIPPING SYSTEM,PKGEXD,GLOBAL,100129724,100129724,ES PACKAGING,CONTROLLED TEMPERATURE SHIPPING SYSTEM,SOFRIGAM,"RUEIL MALMAISON, FR",NMARINOS,08/25/2017,Ship Matls-Ext Dist
PERKINELMER HEALTH SCIENCES INC,"SHELTON,CT,US",APPROVED,Acceptable,QAGR-401326,N/A PER SOP-427473,REC-559040,8/1/2023,F&E MAINTENANCE,Low,"MAINTENANCE OF LABORATORY ANALYTICAL, CHROMATOGRAPHY AND PERKINELMER EQUIPMENT",MAINT,GLOBAL,100129835,100129835,"MALDONADO, DAISEY",GENERAL & MISC MAINTENANCE SERVICES,PERKINELMER HEALTH SCIENCES INC,"SHELTON,CT,US",GTORRE05,12/19/2015,Maintenance Srv
ALMAC CLINIC SVCS LLC,"SOUDERTON,PA,US",APPROVED,Acceptable,"QAGR-401136, QAGR-402106",AMS-58357,RPT-549211,01/31/2023,CONTRACT MANUFACTURING,High,"PACKAGING, LABELING, STORAGE, AND DISTRIBUTION OF PHASE I, II, III PRODUCTS, NAMPS AND NIMPS",CTRMFG,GLOBAL,100129948,100129948,CLINICAL SUPPLY CHAIN,CONTRACT MANUFACTURERS,ALMAC CLINIC SVCS LLC,"SOUDERTON,PA,US",GTORRE05,12/19/2015,Contract Mfg
SERVIMETAL INC,"CAGUAS,PR,US",APPROVED,Acceptable,QAGR-401409,N/A PER SOP-427473,REC-553972,9/12/2024,F&E MAINTENANCE,Low,PCS ELASTOMER SUPPLIER,ETVPS,GLOBAL,100130106,100130106,"WALTNER, JERALD",PCS ELASTOMER,SERVIMETAL INC,"CAGUAS,PR,US",NMARINOS,12/19/2015,MRO - ETVPS
SERVIMETAL INC,"CAGUAS,PR,US",APPROVED,Acceptable,QAGR-401409,N/A PER SOP-427473,REC-553972,9/12/2024,F&E MAINTENANCE,Low,PCS ELASTOMER SUPPLIER,ETVPS,GLOBAL,100130106,100130106,"WALTNER, JERALD",PCS HOSE,SERVIMETAL INC,"CAGUAS,PR,US",NMARINOS,12/19/2015,MRO - ETVPS
CIM MAINTENANCE INC,"BROSSARD,QC,CA",APPROVED,Acceptable,N/A PER SOP-416524,N/A PER SOP-416524,REC-553119,08/31/2022,COMPUTERIZED SYSTEM,Medium,SOFTWARE FOR GMP COMPUTERIZED SYSTEMS,ISSME,GLOBAL,100130508,100130508,ASN170618,"IS - SOFTWARE MAINTENANCE, ELECTRONIC - GMP",CIM MAINTENANCE INC,"BROSSARD,QC,CA",NMARINOS,12/19/2015,IS Sftwre Maint-Elec
OPHIR SPIRICON LLC DBA OPHIR SPIRICON,"NORTH LOGAN,UT,US",APPROVED,Acceptable,QAGR-402243,AMS-49729,REC-555988,6/4/2022,CALIBRATION,Medium,LASER POWER METERS,INCLSV,GLOBAL,100130656,100130656,"TRONCOSO, RAUL",INSPECTION AND CALIBRATION SERVICE PROVIDERS,OPHIR SPIRICON LLC,"NORTH LOGAN,UT,US",NMARINOS,12/19/2015,Insp&Calibration Srv
STRUKTON WORKSPHERE BV,"BREDA, NL",APPROVED,Acceptable,N/A PER SOP-430398,N/A PER SOP-427473,REC-560580,12/16/2023,F&E MAINTENANCE,Low,ELECTRICAL AND MECHANICAL GENERAL / PREVENTIVE MAINTENANCE,MAINT,GLOBAL,100131564,100131564,"MALDONADO, DAISEY",MAINTENANCE SVCS-GMP,STRUKTON WORKSPHERE BV,"BREDA, NL",NMARINOS,1/4/2018,Maintenance Srv
BRINKMANN INSTRUMENTS METROHM USA INC,"RIVERVIEW,FL,US",APPROVED,Acceptable,QAGR-400960,AMS-51453,REC-561581,01/31/2024,CALIBRATION,Low,CALIBRATIONS/SERVICES: TITRATORS AND MELTING POINT APPARATUS,INCLSV,GLOBAL,100131606,100134747,"TRONCOSO, RAUL",INSPECTION AND CALIBRATION SERVICE PROVIDERS,METROHM USA,"ATLANTA,GA,US",NMARINOS,12/19/2015,Insp&Calibration Srv
X RITE INC,"GRAND RAPIDS,MI,US",APPROVED,Acceptable,N/A PER SOP-417413,AMS-55401/71628,REC-559115,09/30/2022,CALIBRATION,Low,SPECTROPHOTOMETERS AND LIGHT BOOTHS,INCLSV,GLOBAL,100131862,100131861,"TRONCOSO, RAUL",INSPECTION AND CALIBRATION SERVICE PROVIDERS,X RITE INC,"CHICAGO,IL,US",GTORRE05,12/19/2015,Insp&Calibration Srv
CHARLES RIVER LABORATORIES IRELAND,"BALLINA, FO. MAYO, IE",APPROVED,Acceptable,QAGR-400857,AMS-55779,RPT-548241,01/29/2023,CONTRACT LABS,High,"STERILITY, BACTERIAL ENDOTOXINS, PYROGENICITY, MONOCYTE ACTIVATION TEST (MAT)",CLSOPS,GLOBAL,100132188,100132188,ES CONTRACT LABS,ROUTINE TESTING,CHARLES RIVER LABORATORIES IRELAND,"BALLINA, FO. MAYO, IE",NMARINOS,11/9/2018,Contract Lab Svcs
SAFC INC,"MADISON,WI,US",APPROVED,Acceptable,QAGR-401332,AMS-58339,RPT-551557,08/31/2022,CONTRACT MANUFACTURING,High,"PHASE I, II, III, COMMERCIAL INTERMEDIATES, DS, LAB TESTING, STABILITY, MANUFACTURING",CTRMFG,GLOBAL,100132275,100132275,ES DS,CONTRACT MANUFACTURERS,SAFC INC,"MADISON,WI,US",NMARINOS,08/31/2017,Contract Mfg
VEEVA SYSTEMS INC,"PLEASANTON,CA,US",APPROVED,Acceptable,QAGR-402038,N/A PER SOP-416524,REC-558715,08/31/2022,COMPUTERIZED SYSTEM,Medium,HOSTED SOFTWARE FOR GMP COMPUTERIZED SYSTEMS,ISOSRV,GLOBAL,100132368,100132368,"CHEN, TOM (STAFF ID 73246)",IS INTEGRATED SERVICES - HOSTED SERVICES,VEEVA SYSTEMS INC,"PLEASANTON,CA,US",NMARINOS,12/11/2019,IS Outsourced Serv
TABOR STORAGE SOLUTIONS LLC,"GLENDALE,CA,US",APPROVED,Acceptable,N/A PER SOP-427473,N/A PER SOP-427473,REC-547306,05/31/2023,GENERAL,Low,PROVIDES AND INSTALLS STORAGE RACKS WITHIN WAREHOUSE,MFFEQP,GLOBAL,100132978,100132978,FACILITIES AND ENGINEERING,GENERAL EQUIPMENT SERVICES,TABOR STORAGE SOLUTIONS LLC,"GLENDALE,CA,US",NMARINOS,12/19/2015,Manuf&Facil Equip
EPPENDORF NORTH AMERICA INC,"HAUPPAUGE,NY,US",APPROVED,Acceptable,N/A PER SOP-430398,N/A PER SOP-427473,REC-560691,09/30/2023,F&E MAINTENANCE,Low,MAINTENANCE AND SERVICING OF CENTRIFUGES,MAINT,GLOBAL,100133149,100133149,"MALDONADO, DAISEY",FACILITIES REPAIR SERVICES,EPPENDORF NORTH AMERICA INC,"HAUPPAUGE,NY,US",NMARINOS,12/19/2015,Maintenance Srv
FISHER CLINIC SERVICES INC,"CENTURION,GP,ZA",APPROVED,Acceptable,QAGR-400939,AMS-58414,REC-561861,12/22/2022,CLINICAL LOGISTIC SERVICE PROVIDERS,High,"PROVIDE SERVICES FOR PRODUCT PACKAGING, LABELING, STORAGE, TRANSPORT AND DISTRIBUTION, AND MANAGEMENT OF LOGISTICAL ACTIVITIES",CLNDEP,GLOBAL,100133636,100115501,DEVELOPMENT SUPPLY CHAIN,CLINICAL DEPOTS (LOGISTICS SERVICE PROVIDERS) FOR CLINICAL TRIAL PRODUCTS,FISHER CLINICAL SERVICES UK LTD,"WEST SUSSEX, GB",NMARINOS,12/19/2015,Clinical Depots
COKER PUMP & EQUIPMENT CO,"OAKLAND,CA,US",APPROVED,Acceptable,QAGR-401466,N/A PER SOP-427473,REC-553518,8/9/2024,F&E MAINTENANCE,Low,PCS ELASTOMER SUPPLIER,ETVPS,GLOBAL,100133709,100133709,"WALTNER, JERALD",PCS ELASTOMER,COKER PUMP & EQUIPMENT CO,"OAKLAND,CA,US",NMARINOS,08/18/2021,MRO - ETVPS
PRO ELEMENTS CORP,"CAYEY,PR,US",APPROVED,Acceptable,N/A PER SOP-430398,N/A PER SOP-427473,REC-561830,3/9/2024,F&E MAINTENANCE,Low,METAL FABRICATORS AND FABRICATORS OF PACKAGING EQUIPMENT,MAINT,GLOBAL,100133811,100133811,"MALDONADO, DAISEY",GENERAL EQUIPMENT SERVICES,PRO ELEMENTS CORP,"CAYEY,PR,US",NMARINOS,12/19/2015,Maintenance Srv
INMAR MEDTURN INTERNATIONAL INC,"TORONTO,ON,CA",APPROVED,Acceptable,QAGR-400852,AMS-60184,REC-570221,08/21/2024,RETURN AND DESTRUCTION,Low,PRODUCT RETURN AND DESTRUCTION FOR AMGEN CANADA INC.,PRDRET,GLOBAL,100133889,100133889,AMGEN CANADA QUALITY,PRODUCT RETURNS AND DESTRUCTION SERVICES,INMAR,"TORONTO,ON,CA",NMARINOS,08/23/2017,Prod Retrun/Destruct
INMAR MEDTURN INTERNATIONAL INC,"TORONTO,ON,CA",APPROVED,Acceptable,QAGR-400852,AMS-60184,REC-570221,08/21/2024,PRODUCT RECALL,Low,PRODUCT RECALL SERVICES,PRDRET,GLOBAL,100133889,100133889,AMGEN CANADA QUALITY,PRODUCT RECALL SERVICES,INMAR,"TORONTO,ON,CA",NMARINOS,08/23/2017,Prod Retrun/Destruct
BARBARA LYNNE SHWOM DBA COMMUNICATION PARTNERS,"EVANSTON,IL,US",APPROVED,Acceptable,N/A PER SOP-427473,N/A PER SOP-427473,REC-607848,03/25/2024,CONSULTANTS,Low,GMP TRAINING FOR TECHNICAL WRITING OF NONCONFORMANCE AND COMPLAINT INVESTIGATORS,GACONS,GLOBAL,100134554,100134554,"JUDD, CLINT / FINAL PRODUCT TECHNOLOGIES",MISC GMP CONSULTANTS,BARBARA LYNNE SHWOM,"EVANSTON,IL,US",NMARINOS,12/19/2015,OtherG&Aconsult
GEA MECHANICAL EQUIP US INC,"NEWARK,NJ,US",APPROVED,Acceptable,N/A PER SOP-430398,N/A PER SOP-427473,REC-564713,04/13/2024,F&E MAINTENANCE,Low,EQUIPMENT MAINTENANCE,MAINT,GLOBAL,100135375,100135375,"MALDONADO, DAISEY",GENERAL & MISC MAINTENANCE SERVICES,GEA MECHANICAL EQUIP US INC,"NEWARK,NJ,US",NMARINOS,12/19/2015,Maintenance Srv
OPTIMA MACHINERY CORP,"GREEN BAY,WI,US",APPROVED,Acceptable,QAGR-401479,N/A PER SOP-427473,REC-551192,10/7/2022,F&E MAINTENANCE,Low,PCS ELASTOMER SUPPLIER,ETVPS,GLOBAL,100135537,100135537,"WALTNER, JERRY",PCS ELASTOMER,OPTIMA MACHINERY CORP,"GREEN BAY,WI,US",NMARINOS,12/19/2015,MRO - ETVPS
OPTIMA MACHINERY CORP,"GREEN BAY,WI,US",APPROVED,Acceptable,N/A PER SOP-430398,N/A PER SOP-427473,REC-564967,10/3/2022,F&E MAINTENANCE,Low,PARTS AND MAINTENANCE FOR FILLING AT PACKAGING MACHINERY,MAINT,GLOBAL,100135537,100135537,"MALDONADO, DAISEY",OEM (ORIGINAL EQUIPMENT MANUFACTURER) SERVICES,OPTIMA MACHINERY CORP,"GREEN BAY,WI,US",NMARINOS,12/19/2015,Maintenance Srv
MENTOR TECHNICAL GRP CORP,"CAGUAS,PR,US",APPROVED,Acceptable,N/A PER SOP-427473,N/A PER SOP-427473,REC-556859,06/22/2023,GENERAL,Low,QUALITY AND COMPLIANCE VALIDATION,MFGVICQ,PRJU,100136159,100136159,"GONZALEZ, JOSE L.",MANUFACTURING EQUIP INSTALLATION COMMISSION & QUALIF SERVICES,MENTOR TECHNICAL GRP CORP,"CAGUAS,PR,US",NMARINOS,12/19/2015,Mfg - ICQ
CARL STUART LTD,"DUBLIN,DB,IE",APPROVED,Acceptable,N/A PER SOP-417413,AMS-64506,REC-559688,4/7/2023,CALIBRATION,Low,"PRECISION LABORATORY BALANCES, INDUSTRIAL BALANCES, SPECIAL LABORATORY VOLUMETRIC APPARATUS, DIGITAL TEMPERATURE INDICATING SYSTEMS, AND TEMPERATURE CONTROLLED ENCLOSURES (OVENS, FURNACES, BATHS, INCUBATORS, AND FREEZERS)",INCLSV,GLOBAL,100136265,100136265,"TRONCOSO, RAUL",INSPECTION AND CALIBRATION SERVICE PROVIDERS,CARL STUART LTD,"DUBLIN,DB,IE",FCOLLETT,12/19/2015,Insp&Calibration Srv
OMC TECHNOLOGIES,"LIMERICK,LI,IE",APPROVED,Acceptable,QAGR-401975,N/A PER SOP-427473,REC-561860,07/31/2023,F&E MAINTENANCE,Low,MAINTENANCE AND TREATMENT OF STAINLESS-STEEL SURFACES,MAINT,GLOBAL,100136269,100136269,"MALDONADO, DAISEY",MAINTENANCE SVCS-GMP,OMC TECHNOLOGIES,"LIMERICK,LI,IE",NMARINOS,12/19/2015,Maintenance Srv
SIRUS ENGINEERING SYSTEMS,"DUBLIN 12,DB,IE",APPROVED,Acceptable,N/A PER SOP-427473,N/A PER SOP-427473,REC-534086,04/19/2024,F&E MAINTENANCE,Low,THIS SERVICE IS REQUIRED TO ASSIST WITH THE ONGOING MAINTENANCE AND SUPPORT OF BMS AND QBMS SYSTEMS AT ADL,MFGEXE,IEDL,100136276,100136276,AUTOMATION / OPS DTI,AUTOMATION SYSTEMS SERVICE PROVIDERS,SIRUS ENGINEERING SYSTEMS,"DUBLIN 12,DB,IE",GTORRE05,05/17/2016,Mfg Execute Sys
